"id","partner_id/id","icao","iata","elevation","aerodrome_type"
"aerodrome_03TS","partner_03TS","03TS","","1825","heliport"
"aerodrome_03TX","partner_03TX","03TX","","50","heliport"
"aerodrome_03UT","partner_03UT","03UT","","5315","small_airport"
"aerodrome_03VA","partner_03VA","03VA","","250","closed"
"aerodrome_03WA","partner_03WA","03WA","","2440","small_airport"
"aerodrome_03WI","partner_03WI","03WI","","880","small_airport"
"aerodrome_03WN","partner_03WN","03WN","","2320","small_airport"
"aerodrome_03XS","partner_03XS","03XS","","2100","small_airport"
"aerodrome_04AA","partner_04AA","04AA","","250","small_airport"
"aerodrome_04AL","partner_04AL","04AL","","686","heliport"
"aerodrome_04AR","partner_04AR","04AR","","430","heliport"
"aerodrome_04AZ","partner_04AZ","04AZ","","5515","closed"
"aerodrome_04CA","partner_04CA","04CA","","3020","small_airport"
"aerodrome_04CL","partner_04CL","04CL","","2310","small_airport"
"aerodrome_04CT","partner_04CT","04CT","","880","heliport"
"aerodrome_04F","partner_04F","04F","","1293","closed"
"aerodrome_04FA","partner_04FA","04FA","","9","small_airport"
"aerodrome_04FD","partner_04FD","04FD","","37","heliport"
"aerodrome_04FL","partner_04FL","04FL","","30","small_airport"
"aerodrome_04I","partner_04I","04I","","920","small_airport"
"aerodrome_04IA","partner_04IA","04IA","","801","small_airport"
"aerodrome_04ID","partner_04ID","04ID","","2343","small_airport"
"aerodrome_04II","partner_04II","04II","","765","small_airport"
"aerodrome_04IL","partner_04IL","04IL","","755","small_airport"
"aerodrome_04IN","partner_04IN","04IN","","954","seaplane_base"
"aerodrome_04IS","partner_04IS","04IS","","728","small_airport"
"aerodrome_04KS","partner_04KS","04KS","","835","heliport"
"aerodrome_04KY","partner_04KY","04KY","","710","small_airport"
"aerodrome_04LA","partner_04LA","04LA","","10","heliport"
"aerodrome_04LL","partner_04LL","04LL","","750","small_airport"
"aerodrome_04LS","partner_04LS","04LS","","52","heliport"
"aerodrome_04MA","partner_04MA","04MA","","200","closed"
"aerodrome_04MD","partner_04MD","04MD","","40","heliport"
"aerodrome_04ME","partner_04ME","04ME","","625","small_airport"
"aerodrome_04MI","partner_04MI","04MI","","880","small_airport"
"aerodrome_04MN","partner_04MN","04MN","","1195","small_airport"
"aerodrome_04MO","partner_04MO","04MO","","767","small_airport"
"aerodrome_04MS","partner_04MS","04MS","","100","small_airport"
"aerodrome_04MT","partner_04MT","04MT","","2715","small_airport"
"aerodrome_04NC","partner_04NC","04NC","","445","heliport"
"aerodrome_04NE","partner_04NE","04NE","","3035","small_airport"
"aerodrome_04NJ","partner_04NJ","04NJ","","155","small_airport"
"aerodrome_04NV","partner_04NV","04NV","","2620","small_airport"
"aerodrome_04NY","partner_04NY","04NY","","250","small_airport"
"aerodrome_04OG","partner_04OG","04OG","","185","heliport"
"aerodrome_04OH","partner_04OH","04OH","","1080","closed"
"aerodrome_04OK","partner_04OK","04OK","","984","heliport"
