"id","name","city","country_id/id"
"partner_XS63","Texas Air Museum Airport","Rio Hondo","base.us"
"partner_XS64","Farm Services Inc Airport","Rio Hondo","base.us"
"partner_XS65","Kitching Ranch Heliport","Austin","base.us"
"partner_XS66","Rabb Dusting Inc Airport","Robstown","base.us"
"partner_XS67","San Jose Island Airport","Rockport","base.us"
"partner_XS68","Sky Lane Ranch Airport","Brenham","base.us"
"partner_XS69","Hackberry Ranch Airport","Rocksprings","base.us"
"partner_XS70","Glover Airport","Mount Pleasant","base.us"
"partner_XS71","San Christoval Ranch Airport","Pawnee","base.us"
"partner_XS72","F R Duke Farm Airport","Romayor","base.us"
"partner_XS73","Double D Ranch Airport","Rosanky","base.us"
"partner_XS74","Diamondaire Airport","Waco","base.us"
"partner_XS75","West Ranch Airport","Round Mountain","base.us"
"partner_XS76","Texas Menhaden Strip","Sabine Pass","base.us"
"partner_XS77","Seafood Warehouse Park Airport","Crystal Beach","base.us"
"partner_XS78","Santiago Cattle Company Airport","Brady","base.us"
"partner_XS79","A W Ranch Airport","San Antonio","base.us"
"partner_XS80","Scout Airport","Comfort","base.us"
"partner_XS81","Santa Rosa Helistop","San Antonio","base.us"
"partner_XS82","Del Rio Heliport","San Antonio","base.us"
"partner_XS83","Methodist Hospital Heliport","San Antonio","base.us"
"partner_XS84","Department of Public Safety Heliport","San Antonio","base.us"
"partner_XS85","University Health System Heliport","San Antonio","base.us"
"partner_XS86","T-Ranch Airport","Castroville","base.us"
"partner_XS87","Industrial Helicopters Inc Heliport","Port O'Connor","base.us"
"partner_XS88","Parson Field","Paris","base.us"
"partner_XS89","Yates Airport","San Antonio","base.us"
"partner_XS90","Fentress Airpark","Fentress","base.us"
"partner_XS91","Pickle Plantation Airport","Poynor","base.us"
"partner_XS92","Jackson /Bill/ Airport","Paradise","base.us"
"partner_XS93","Diamond O Ranch Airport","Santa Elena","base.us"
"partner_XS94","Corralitos Airport","San Ygnacio","base.us"
"partner_XS95","Marty Ranch Airport","Schulenburg","base.us"
"partner_XS96","Hillwood Heliport","Fort Worth","base.us"
"partner_XS97","Charlton Methodist Hospital Heliport","Dallas","base.us"
"partner_XS98","Guadalupe Hospital Heliport","Seguin","base.us"
"partner_XS99","Lake Water Wheel Airport","Shepherd","base.us"
"partner_XUBS","Smolensk North Airport","Smolensk","base.ru"
"partner_XVL","Vinh Long Airfield","Vinh Long","base.vn"
"partner_XWPD","Sosnovka Airfield","Penza","base.ru"
"partner_XWPR","Rtishchevo Air Base","Rtishchevo","base.ru"
"partner_XXZ","Modi","California","base.us"
"partner_XYMY","Victoria STOLport","Montreal","base.ca"
"partner_XZM","Macau Heliport at Outer Harbour Ferry Terminal","Macau","base.mo"
"partner_Y01","Waukon Municipal Airport","Waukon","base.us"
"partner_Y04","Sugar Loaf Resort Airport","Traverse City","base.us"
"partner_Y06Z","Corunna Downs (WW II)","Marble Bar","base.au"
"partner_Y16","Dale Delight Airport","Postville","base.us"
"partner_Y30","Pbeaaye Airport","Topinabee","base.us"
"partner_Y34","Lake Preston Municipal Airport","Lake Preston","base.us"
